Pathway identifier,Pathway name,#Entities found,#Entities total,#Interactors found,#Interactors total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Submitted entities hit interactor,Interacts with,Found reaction identifiers
R-HSA-1630316,"Glycosaminoglycan metabolism",6,182,0,44,0.012945444199445195,0.052827719755560554,0.8243109973782252,25,82,0.006842456608811749,9606,Homo sapiens,"EXT1;SLC35B3;XRCC4;ABCC5;DCN;HS3ST1","",,,"R-HSA-2076383;R-HSA-1971487;R-HSA-741449;R-HSA-1793176;R-HSA-1971482;R-HSA-1971483;R-HSA-2065233;R-HSA-2022856;R-HSA-2022919;R-HSA-2022851;R-HSA-2022911;R-HSA-1889981;R-HSA-2018682;R-HSA-1889978;R-HSA-2142859;R-HSA-1878002;R-HSA-2022065;R-HSA-2022063;R-HSA-2022061;R-HSA-2022056;R-HSA-2076392;R-HSA-2022052;R-HSA-2018659;R-HSA-1971491;R-HSA-1889955"
R-HSA-198753,"ERK/MAPK targets",3,26,0,47,0.0018493491713493136,0.054346171434329515,0.8243109973782252,2,7,5.841121495327102E-4,9606,Homo sapiens,"DUSP4;PPP2R1B;DUSP6","",,,"R-HSA-199959;R-HSA-203797"
R-HSA-9022538,"Loss of MECP2 binding ability to 5mC-DNA",1,5,0,0,3.556440714133295E-4,0.057236744114936844,0.8243109973782252,1,2,1.6688918558077436E-4,9606,Homo sapiens,"BDNF","",,,"R-HSA-9023461"
R-HSA-3000157,"Laminin interactions",2,31,0,2,0.002204993242762643,0.058481832796258515,0.8243109973782252,2,15,0.0012516688918558078,9606,Homo sapiens,"ITGA2;ITGA1","",,,"R-HSA-216051;R-HSA-349626"
R-HSA-451326,"Activation of kainate receptors upon glutamate binding",2,34,0,2,0.0024183796856106408,0.06804329470917192,0.8243109973782252,1,6,5.006675567423231E-4,9606,Homo sapiens,"PLCB1;GNG11","",,,"R-HSA-500717"
R-HSA-2142850,"Hyaluronan biosynthesis and export",1,6,0,0,4.2677288569599545E-4,0.06828646052336285,0.8243109973782252,1,3,2.5033377837116157E-4,9606,Homo sapiens,"ABCC5","",,,"R-HSA-2142859"
R-HSA-6785631,"ERBB2 Regulates Cell Motility",2,19,0,18,0.0013514474713706523,0.07133777833748367,0.8243109973782252,2,2,1.6688918558077436E-4,9606,Homo sapiens,"NRG1","",,,"R-HSA-6785636;R-HSA-6785648"
R-HSA-1971475,"A tetrasaccharide linker sequence is required for GAG synthesis",2,31,0,6,0.002204993242762643,0.07133777833748367,0.8243109973782252,4,4,3.337783711615487E-4,9606,Homo sapiens,"XRCC4;DCN","",,,"R-HSA-1889981;R-HSA-1889978;R-HSA-1878002;R-HSA-1889955"
R-HSA-447041,"CHL1 interactions",3,10,0,74,7.11288142826659E-4,0.0759663741465072,0.8243109973782252,1,5,4.1722296395193593E-4,9606,Homo sapiens,"ITGA10;ITGA2;ITGA1","",,,"R-HSA-445088"
R-HSA-2129379,"Molecules associated with elastic fibres",2,38,0,2,0.0027028949427413047,0.08151991963200389,0.8243109973782252,5,10,8.344459279038719E-4,9606,Homo sapiens,"EFEMP1;ITGB8","",,,"R-HSA-2161282;R-HSA-2328048;R-HSA-2396029;R-HSA-1592387;R-HSA-2395320"
R-HSA-2022928,"HS-GAG biosynthesis",2,40,0,0,0.002845152571306636,0.08151991963200389,0.8243109973782252,5,14,0.0011682242990654205,9606,Homo sapiens,"EXT1;HS3ST1","",,,"R-HSA-2076383;R-HSA-2022856;R-HSA-2076392;R-HSA-2022919;R-HSA-2022851"
R-HSA-416700,"Other semaphorin interactions",2,19,1,28,0.0013514474713706523,0.08500819149433236,0.8243109973782252,3,9,7.510013351134847E-4,9606,Homo sapiens,"SEMA6D;ITGA1","P56199;Q8NFY4",NRG1,P21854,"R-HSA-373748;R-HSA-416725;R-HSA-434990"
R-HSA-8866906,"TFAP2 (AP-2) family regulates transcription of other transcription factors",1,5,0,3,3.556440714133295E-4,0.09000049944775312,0.8243109973782252,2,2,1.6688918558077436E-4,9606,Homo sapiens,"CITED2","",,,"R-HSA-8864718;R-HSA-8864729"
R-HSA-5339717,"Misspliced LRP5 mutants have enhanced beta-catenin-dependent signaling",1,6,1,3,4.2677288569599545E-4,0.10066780225648342,0.8243109973782252,1,1,8.344459279038718E-5,9606,Homo sapiens,"KREMEN1","Q96MU8",SOST,O75197,"R-HSA-5339711"
R-HSA-5660489,"MTF1 activates gene expression",1,6,0,3,4.2677288569599545E-4,0.10066780225648342,0.8243109973782252,4,4,3.337783711615487E-4,9606,Homo sapiens,"MTF1","",,,"R-HSA-5660503;R-HSA-5660514;R-HSA-5660530;R-HSA-5660479"
R-HSA-163767,"PP2A-mediated dephosphorylation of key metabolic factors",1,9,0,0,6.401593285439932E-4,0.10066780225648342,0.8243109973782252,4,4,3.337783711615487E-4,9606,Homo sapiens,"PPP2R1B","",,,"R-HSA-163750;R-HSA-163688;R-HSA-164056;R-HSA-163689"
R-HSA-3595172,"Defective CHST3 causes SEDCJD",1,9,0,0,6.401593285439932E-4,0.10066780225648342,0.8243109973782252,1,1,8.344459279038718E-5,9606,Homo sapiens,"DCN","",,,"R-HSA-3595175"
R-HSA-3595174,"Defective CHST14 causes EDS, musculocontractural type",1,9,0,0,6.401593285439932E-4,0.10066780225648342,0.8243109973782252,1,1,8.344459279038718E-5,9606,Homo sapiens,"DCN","",,,"R-HSA-3636919"
R-HSA-212300,"PRC2 methylates histones and DNA",2,44,0,2,0.0031296678284373,0.10308753903781975,0.8243109973782252,4,4,3.337783711615487E-4,9606,Homo sapiens,"H3F3B;H3F3A;JARID2","",,,"R-HSA-212263;R-HSA-212222;R-HSA-212269;R-HSA-212252"
R-HSA-198725,"Nuclear Events (kinase and transcription factor activation)",3,29,1,70,0.0020627356141973115,0.10315599876689863,0.8243109973782252,5,11,9.17890520694259E-4,9606,Homo sapiens,"DUSP4;PPP2R1B;DUSP6","Q13115;P30154;Q16828",SGK1,P16220,"R-HSA-199959;R-HSA-199895;R-HSA-203797;R-HSA-199935;R-HSA-199917"
R-HSA-3595177,"Defective CHSY1 causes TPBS",1,10,0,0,7.11288142826659E-4,0.11121058544899998,0.8243109973782252,2,2,1.6688918558077436E-4,9606,Homo sapiens,"DCN","",,,"R-HSA-3595178;R-HSA-3595176"
R-HSA-5576892,"Phase 0 - rapid depolarisation",2,47,0,2,0.003343054271285298,0.11439368672732131,0.8243109973782252,2,2,1.6688918558077436E-4,9606,Homo sapiens,"CACNA2D3;FGF13","",,,"R-HSA-5577213;R-HSA-5576895"
R-HSA-8939247,"RUNX1 regulates transcription of genes involved in interleukin signaling",1,7,0,4,4.979016999786613E-4,0.12163029640568057,0.8243109973782252,5,5,4.1722296395193593E-4,9606,Homo sapiens,"RUNX1","",,,"R-HSA-8938938;R-HSA-8934688;R-HSA-8938913;R-HSA-8934690;R-HSA-8938981"
R-HSA-111448,"Activation of NOXA and translocation to mitochondria",1,6,1,5,4.2677288569599545E-4,0.12163029640568057,0.8243109973782252,4,5,4.1722296395193593E-4,9606,Homo sapiens,"TFDP2","Q14188",BCL2,Q13794,"R-HSA-140214;R-HSA-140216;R-HSA-140217;R-HSA-4331327"
R-HSA-1566948,"Elastic fibre formation",2,46,1,12,0.0032719254570026317,0.12992782465896524,0.8243109973782252,6,17,0.0014185580774365822,9606,Homo sapiens,"EFEMP1;ITGB8","P26012;Q12805",NUFIP2,Q9UBX5,"R-HSA-2161282;R-HSA-2328048;R-HSA-2129353;R-HSA-2396029;R-HSA-1592387;R-HSA-2395320"
R-HSA-8964046,"VLDL clearance",1,10,0,2,7.11288142826659E-4,0.13192836575431321,0.8243109973782252,1,3,2.5033377837116157E-4,9606,Homo sapiens,"VLDLR","",,,"R-HSA-8854462"
R-HSA-2022923,"Dermatan sulfate biosynthesis",1,13,0,0,9.246745856746568E-4,0.14210620756319592,0.8243109973782252,4,4,3.337783711615487E-4,9606,Homo sapiens,"DCN","",,,"R-HSA-2022063;R-HSA-2022061;R-HSA-2022052;R-HSA-2022065"
R-HSA-5632681,"Ligand-receptor interactions",1,8,0,7,5.690305142613273E-4,0.14210620756319592,0.8243109973782252,1,4,3.337783711615487E-4,9606,Homo sapiens,"HHIP","",,,"R-HSA-445448"
R-HSA-164843,"2-LTR circle formation",1,13,0,2,9.246745856746568E-4,0.15216521953199447,0.8243109973782252,2,3,2.5033377837116157E-4,9606,Homo sapiens,"XRCC4","",,,"R-HSA-175258;R-HSA-175177"
R-HSA-2473224,"Antagonism of Activin by Follistatin",0,4,1,10,2.8451525713066365E-4,0.15216521953199447,0.8243109973782252,1,2,1.6688918558077436E-4,9606,Homo sapiens,"","",CREB5,P19883,"R-HSA-2473184"
R-HSA-426048,"Arachidonate production from DAG",1,13,0,1,9.246745856746568E-4,0.15216521953199447,0.8243109973782252,1,3,2.5033377837116157E-4,9606,Homo sapiens,"MGLL","",,,"R-HSA-426043"
R-HSA-418990,"Adherens junctions interactions",3,35,1,87,0.002489508499893307,0.15261387728660358,0.8243109973782252,2,16,0.0013351134846461949,9606,Homo sapiens,"CDH6;JUP;CDH11","P55287;P55285;P14923",JUP,P35221,"R-HSA-419002;R-HSA-419001"
R-HSA-3000178,"ECM proteoglycans",3,79,0,39,0.005619176328330607,0.1582004958253601,0.8243109973782252,8,23,0.0019192256341789052,9606,Homo sapiens,"COL1A1;ITGA2;DCN","",,,"R-HSA-4086204;R-HSA-2327909;R-HSA-2424243;R-HSA-2424252;R-HSA-2681667;R-HSA-2327886;R-HSA-2465883;R-HSA-2466106"
R-HSA-5339716,"Misspliced GSK3beta mutants stabilize beta-catenin",1,15,0,0,0.0010669322142399886,0.16210678318043437,0.8243109973782252,1,1,8.344459279038718E-5,9606,Homo sapiens,"PPP2R1B","",,,"R-HSA-5339713"
R-HSA-163282,"Mitochondrial transcription initiation",0,3,1,12,2.1338644284799773E-4,0.16210678318043437,0.8243109973782252,1,2,1.6688918558077436E-4,9606,Homo sapiens,"","",STK38L,Q00059,"R-HSA-163310"
R-HSA-2214320,"Anchoring fibril formation",1,15,0,0,0.0010669322142399886,0.16210678318043437,0.8243109973782252,1,4,3.337783711615487E-4,9606,Homo sapiens,"COL1A1","",,,"R-HSA-2396234"
R-HSA-111453,"BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members",2,11,1,58,7.82416957109325E-4,0.16227698136262458,0.8243109973782252,3,4,3.337783711615487E-4,9606,Homo sapiens,"BCL2","P10415;ENSG00000171791",BCL2,P10415;P55957,"R-HSA-114352;R-HSA-508163;R-HSA-6790025"
R-HSA-9013695,"NOTCH4 Intracellular Domain Regulates Transcription",3,26,1,98,0.0018493491713493136,0.16669625304840474,0.8243109973782252,8,9,7.510013351134847E-4,9606,Homo sapiens,"HEY1;MAML2","ENSG00000164683;Q9Y5J3;Q8IZL2",ATXN1,Q06330,"R-HSA-9604451;R-HSA-9604550;R-HSA-9013693;R-HSA-9604471;R-HSA-9013711;R-HSA-9604664;R-HSA-9604553;R-HSA-9604446"
R-HSA-3656253,"Defective EXT1 causes exostoses 1, TRPS2 and CHDS",1,16,0,0,0.0011380610285226546,0.1719322640347155,0.8243109973782252,4,4,3.337783711615487E-4,9606,Homo sapiens,"EXT1","",,,"R-HSA-9036283;R-HSA-3656261;R-HSA-9036285;R-HSA-3656257"
R-HSA-3656237,"Defective EXT2 causes exostoses 2",1,16,0,0,0.0011380610285226546,0.1719322640347155,0.8243109973782252,4,4,3.337783711615487E-4,9606,Homo sapiens,"EXT1","",,,"R-HSA-9036289;R-HSA-3656254;R-HSA-9036290;R-HSA-3656267"
R-HSA-211227,"Activation of DNA fragmentation factor",1,13,1,5,9.246745856746568E-4,0.1719322640347155,0.8243109973782252,10,12,0.0010013351134846463,9606,Homo sapiens,"DFFB","O76075",DFFB,O00273,"R-HSA-211186;R-HSA-211191;R-HSA-211239;R-HSA-211207;R-HSA-211206;R-HSA-211190;R-HSA-211193;R-HSA-9029667;R-HSA-211224;R-HSA-211247"
R-HSA-140342,"Apoptosis induced DNA fragmentation",1,13,1,5,9.246745856746568E-4,0.1719322640347155,0.8243109973782252,10,12,0.0010013351134846463,9606,Homo sapiens,"DFFB","O76075",DFFB,O00273,"R-HSA-211186;R-HSA-211191;R-HSA-211239;R-HSA-211207;R-HSA-211206;R-HSA-211190;R-HSA-211193;R-HSA-9029667;R-HSA-211224;R-HSA-211247"
R-HSA-113501,"Inhibition of replication initiation of damaged DNA by RB1/E2F1",2,13,0,55,9.246745856746568E-4,0.1789496482982348,0.8243109973782252,2,3,2.5033377837116157E-4,9606,Homo sapiens,"TFDP2;PPP2R1B","",,,"R-HSA-113643;R-HSA-113503"
R-HSA-112308,"Presynaptic depolarization and calcium channel opening",1,15,0,2,0.0010669322142399886,0.18164301181200782,0.8243109973782252,1,2,1.6688918558077436E-4,9606,Homo sapiens,"CACNA2D3","",,,"R-HSA-210420"
R-HSA-75944,"Transcription from mitochondrial promoters",0,4,1,13,2.8451525713066365E-4,0.18164301181200782,0.8243109973782252,1,3,2.5033377837116157E-4,9606,Homo sapiens,"","",STK38L,Q00059,"R-HSA-163310"
R-HSA-8847993,"ERBB2 Activates PTK6 Signaling",2,18,1,50,0.0012803186570879864,0.18315866641753054,0.8243109973782252,2,2,1.6688918558077436E-4,9606,Homo sapiens,"NRG1","Q02297-10;Q02297",MEIS2,Q13882,"R-HSA-8848005;R-HSA-8847995"
R-HSA-5673001,"RAF/MAP kinase cascade",7,274,0,141,0.019489295113450458,0.18440828587286306,0.8243109973782252,6,39,0.0032543391188251,9606,Homo sapiens,"DUSP4;KITLG;ANGPT1;PPP2R1B;NRG1;DUSP6","",,,"R-HSA-5675431;R-HSA-5672965;R-HSA-5675376;R-HSA-5672961;R-HSA-5675373;R-HSA-5672957"
R-HSA-5675221,"Negative regulation of MAPK pathway",3,45,0,96,0.003200796642719966,0.18701393785002518,0.8243109973782252,3,12,0.0010013351134846463,9606,Homo sapiens,"DUSP4;PPP2R1B;DUSP6","",,,"R-HSA-5675431;R-HSA-5675376;R-HSA-5675373"
R-HSA-8866427,"VLDLR internalisation and degradation",1,12,0,6,8.535457713919909E-4,0.19124036060260907,0.8243109973782252,4,4,3.337783711615487E-4,9606,Homo sapiens,"VLDLR","",,,"R-HSA-8855111;R-HSA-8854628;R-HSA-8855131;R-HSA-8855130"
R-HSA-1482883,"Acyl chain remodeling of DAG and TAG",1,18,0,0,0.0012803186570879864,0.19124036060260907,0.8243109973782252,1,8,6.675567423230974E-4,9606,Homo sapiens,"MGLL","",,,"R-HSA-1482543"
R-HSA-975577,"N-Glycan antennae elongation",1,19,0,0,0.0013514474713706523,0.20072562905012226,0.8243109973782252,1,6,5.006675567423231E-4,9606,Homo sapiens,"ST6GAL1","",,,"R-HSA-975902"
R-HSA-8951671,"RUNX3 regulates YAP1-mediated transcription",0,9,1,11,6.401593285439932E-4,0.21010012052954208,0.8243109973782252,1,3,2.5033377837116157E-4,9606,Homo sapiens,"","",TLE1,Q13761,"R-HSA-8951676"
R-HSA-9012852,"Signaling by NOTCH3",5,63,2,211,0.004481115299807952,0.2131651976357023,0.8243109973782252,21,37,0.003087449933244326,9606,Homo sapiens,"HEY1;MAML2;PBX1","ENSG00000164683;Q9Y5J3;ENSG00000185630;P40424;Q8IZL2",ATXN1;MEIS2,P40424;Q06330,"R-HSA-9021480;R-HSA-9021451;R-HSA-9021450;R-HSA-9018538;R-HSA-9021325;R-HSA-9016751;R-HSA-9018542;R-HSA-9013568;R-HSA-9021412;R-HSA-9021478;R-HSA-9016861;R-HSA-9014141;R-HSA-9013631;R-HSA-9013567;R-HSA-9021406;R-HSA-9014129;R-HSA-9013488;R-HSA-9016916;R-HSA-9013652;R-HSA-9017398;R-HSA-9021334"
R-HSA-1358803,"Downregulation of ERBB2:ERBB3 signaling",2,16,1,59,0.0011380610285226546,0.2172768091678563,0.8243109973782252,6,8,6.675567423230974E-4,9606,Homo sapiens,"NRG1","Q02297-10;Q02297",HOMER2,Q9H4P4,"R-HSA-1358789;R-HSA-1358790;R-HSA-1358801;R-HSA-1358798;R-HSA-1358792;R-HSA-1358795"
R-HSA-113510,"E2F mediated regulation of DNA replication",2,22,0,55,0.00156483391421865,0.2172768091678563,0.8243109973782252,2,4,3.337783711615487E-4,9606,Homo sapiens,"TFDP2;PPP2R1B","",,,"R-HSA-113643;R-HSA-113503"
R-HSA-3560783,"Defective B4GALT7 causes EDS, progeroid type",1,21,0,0,0.001493705099935984,0.21936512332331803,0.8243109973782252,1,1,8.344459279038718E-5,9606,Homo sapiens,"DCN","",,,"R-HSA-3560804"
R-HSA-3560801,"Defective B3GAT3 causes JDSSDHD",1,21,0,0,0.001493705099935984,0.21936512332331803,0.8243109973782252,1,1,8.344459279038718E-5,9606,Homo sapiens,"DCN","",,,"R-HSA-3560802"
R-HSA-4420332,"Defective B3GALT6 causes EDSP2 and SEMDJL1",1,21,0,0,0.001493705099935984,0.21936512332331803,0.8243109973782252,1,1,8.344459279038718E-5,9606,Homo sapiens,"DCN","",,,"R-HSA-4420365"
R-HSA-5578768,"Physiological factors",0,13,1,8,9.246745856746568E-4,0.21936512332331803,0.8243109973782252,1,4,3.337783711615487E-4,9606,Homo sapiens,"","",EMP1,Q9Y5Q5,"R-HSA-5578783"
R-HSA-3560782,"Diseases associated with glycosaminoglycan metabolism",2,54,0,22,0.003840955971263959,0.22589937539929605,0.8243109973782252,15,29,0.0024198931909212283,9606,Homo sapiens,"EXT1;DCN","",,,"R-HSA-3636919;R-HSA-9036289;R-HSA-3656254;R-HSA-9036290;R-HSA-4420365;R-HSA-3595175;R-HSA-9036283;R-HSA-3656261;R-HSA-3560804;R-HSA-9036285;R-HSA-3560802;R-HSA-3656257;R-HSA-3656267;R-HSA-3595178;R-HSA-3595176"
R-HSA-75108,"Activation, myristolyation of BID and translocation to mitochondria",0,4,1,19,2.8451525713066365E-4,0.2375717415628522,0.8243109973782252,4,4,3.337783711615487E-4,9606,Homo sapiens,"","",BCL2,P55957,"R-HSA-139920;R-HSA-141367;R-HSA-139893;R-HSA-139898"
R-HSA-1793185,"Chondroitin sulfate/dermatan sulfate metabolism",2,73,0,7,0.005192403442634611,0.2432127106695574,0.8243109973782252,18,24,0.0020026702269692926,9606,Homo sapiens,"XRCC4;DCN","",,,"R-HSA-2022911;R-HSA-1971487;R-HSA-1889981;R-HSA-1793176;R-HSA-2018682;R-HSA-1971482;R-HSA-1971483;R-HSA-1889978;R-HSA-2065233;R-HSA-1878002;R-HSA-2022065;R-HSA-2022063;R-HSA-2022061;R-HSA-2022056;R-HSA-2022052;R-HSA-2018659;R-HSA-1971491;R-HSA-1889955"
R-HSA-2243919,"Crosslinking of collagen fibrils",1,24,0,0,0.0017070915427839818,0.24651585966688483,0.8243109973782252,11,13,0.0010847797062750334,9606,Homo sapiens,"COL1A1","",,,"R-HSA-2395302;R-HSA-2395223;R-HSA-2243926;R-HSA-2395314;R-HSA-2395324;R-HSA-2395340;R-HSA-2243931;R-HSA-2002466;R-HSA-2395257;R-HSA-2395322;R-HSA-2250301"
R-HSA-8941333,"RUNX2 regulates genes involved in differentiation of myeloid cells",1,6,1,18,4.2677288569599545E-4,0.24651585966688483,0.8243109973782252,1,2,1.6688918558077436E-4,9606,Homo sapiens,"RUNX1","Q01196",CHI3L1,P17931,"R-HSA-8938382"
R-HSA-6809371,"Formation of the cornified envelope",4,138,1,87,0.009815776371007895,0.2466480734047093,0.8243109973782252,11,27,0.002253004005340454,9606,Homo sapiens,"JUP;KRT86","Q14533;O43790;P14923;P78385",C6orf141,O60437,"R-HSA-6814695;R-HSA-6814374;R-HSA-6810357;R-HSA-6814387;R-HSA-6811539;R-HSA-8942224;R-HSA-6814734;R-HSA-6814764;R-HSA-6810843;R-HSA-6814298;R-HSA-6810937"
R-HSA-8941856,"RUNX3 regulates NOTCH signaling",1,16,1,11,0.0011380610285226546,0.2553554947399048,0.8243109973782252,6,7,5.841121495327102E-4,9606,Homo sapiens,"MAML2","Q8IZL2",TLE1,Q13761,"R-HSA-1980047;R-HSA-8878243;R-HSA-8878193;R-HSA-4396347;R-HSA-8878237;R-HSA-8878220"
R-HSA-6785807,"Interleukin-4 and Interleukin-13 signaling",6,211,2,164,0.015008179813642506,0.2626021169885986,0.8243109973782252,5,46,0.0038384512683578105,9606,Homo sapiens,"BCL2;LIF;FOXO1","ENSG00000150907;ENSG00000128342;Q12778;P10415;ENSG00000171791;P15018",ELOVL4;CHI3L1,P09601;Q14627,"R-HSA-6797268;R-HSA-6790036;R-HSA-6789615;R-HSA-449818;R-HSA-6790025"
R-HSA-1368108,"BMAL1:CLOCK,NPAS2 activates circadian gene expression",3,42,2,113,0.002987410199871968,0.26374170708781075,0.8243109973782252,20,20,0.0016688918558077437,9606,Homo sapiens,"DBP;NPAS2","Q10586;Q99743;ENSG00000105516",ATXN1;USP54,O14503,"R-HSA-879724;R-HSA-5663127;R-HSA-5663156;R-HSA-5663124;R-HSA-5663122;R-HSA-8878702;R-HSA-5663132;R-HSA-879782;R-HSA-5663165;R-HSA-1368889;R-HSA-8878679;R-HSA-5663138;R-HSA-5663170;R-HSA-879770;R-HSA-5663105;R-HSA-549424;R-HSA-879798;R-HSA-549364;R-HSA-549428;R-HSA-879762"
R-HSA-2022870,"Chondroitin sulfate biosynthesis",1,25,0,1,0.0017782203570666478,0.26409186217221436,0.8243109973782252,7,7,5.841121495327102E-4,9606,Homo sapiens,"DCN","",,,"R-HSA-2022911;R-HSA-1971487;R-HSA-2018682;R-HSA-1971482;R-HSA-1971483;R-HSA-2018659;R-HSA-1971491"
R-HSA-111452,"Activation and oligomerization of BAK protein",0,2,1,26,1.4225762856533183E-4,0.26409186217221436,0.8243109973782252,3,3,2.5033377837116157E-4,9606,Homo sapiens,"","",BCL2,Q16611;P55957,"R-HSA-168848;R-HSA-139895;R-HSA-114263"
